NN size,Encoding rate,Encoding,Network,Decoding,Rotating,yolo,Server,Frame Rate,Confidence,Cumulative Confidence
128,25,4,4.4,0.7,0.1,7.5,8.6,52.6315789473684,"[0.592797, 0.864838]",1.457635
128,25,2,4.8,0.7,0.1,11,12.2,50,[],0
128,25,4,6.5,1.9,0.2,10.7,13.5,38.4615384615385,[0.631006],0.631006
128,25,2,5.7,0.9,0.1,10.7,12.3,45.4545454545455,[],0
128,25,5,5.6,1.5,0.1,9.2,11.4,45.4545454545455,[],0
128,25,4,5.7,0.9,0.1,7.9,9.3,50,"[0.89132, 0.837008]",1.728328
128,25,2,3.2,1.2,0.3,10.8,12.8,45.4545454545455,"[0.874593, 0.812952, 0.666425, 0.601935, 0.581298, 0.502462]",4.039665
128,25,5,5.8,1.6,0.1,10.7,13.2,40,"[0.998124, 0.981679]",1.979803
128,25,4,4.6,1.7,0.1,10.8,13.4,43.4782608695652,[],0
128,25,4,3.5,1.2,0.1,10.9,12.5,47.6190476190476,[0.567419],0.567419
128,25,3,4.5,1.9,0.1,10.7,13.5,41.6666666666667,"[0.722652, 0.894306, 0.544372, 0.947893, 0.880106]",3.989329
128,25,3,6,2,0.1,10.8,14,41.6666666666667,[0.717412],0.717412
128,25,4,4.8,1.6,0.1,10.7,13.2,43.4782608695652,[],0
128,25,4,5.8,0.4,0,7.5,8.2,50,[0.987356],0.987356
128,25,4,5.4,2,0.2,10.7,13.6,41.6666666666667,[],0
128,25,5,6.1,1.5,0.1,10.7,12.9,40,[],0
128,25,4,4.6,1.8,0.1,10.7,13.4,41.6666666666667,[],0
128,25,2,4.7,1.5,0.3,10.9,13.3,45.4545454545455,"[0.944555, 0.742961]",1.687516
128,25,6,10.8,1.6,0.2,10.7,13.2,31.25,[],0
128,25,2,4.4,0.5,0.1,10.9,11.6,50,[0.901718],0.901718
128,25,5,5,1.4,0.1,10.7,13,41.6666666666667,[],0
128,25,4,5.9,0.7,0.1,8,9.1,50,"[0.734078, 0.54497]",1.279048
128,25,3,5.1,1.1,0.2,9.2,10.9,47.6190476190476,[0.983301],0.983301
128,25,4,6.2,0.9,0.2,8.3,9.8,47.6190476190476,[0.855331],0.855331
128,25,5,7.2,1.2,0.1,7.8,9.8,43.4782608695652,"[0.628816, 0.611802]",1.240618
128,25,4,5,0.7,0.1,7.8,9,52.6315789473684,"[0.818477, 0.78842]",1.606897
128,25,4,4.1,2,0.1,10.7,13.9,38.4615384615385,[0.715892],0.715892
